rpi,sos,team
1,1,Kansas
2,35,Dayton
3,42,Florida State
4,48,Baylor
5,3,Villanova
6,24,Auburn
7,13,Oregon
8,97,San Diego State
9,25,Duke
10,18,Creighton
11,21,Louisville
12,121,Gonzaga
13,44,Maryland
14,38,BYU
15,2,West Virginia
16,4,Seton Hall
17,74,Kentucky
18,62,Houston
19,60,Virginia
20,11,Colorado
21,75,Saint Mary's College
22,16,LSU
23,32,Michigan State
24,141,East Tennessee State
25,87,Richmond
26,45,Butler
27,33,Wisconsin
28,117,Northern Iowa
29,72,Wichita State
30,26,Cincinnati
31,55,Rhode Island
32,63,USC
33,17,Arizona State
34,12,Arizona
35,101,Akron
36,107,Utah State
37,52,Ohio State
38,88,Saint Louis
39,8,Providence
40,20,Oklahoma
41,15,Florida
42,5,Xavier
43,6,Marquette
44,73,Memphis
45,145,Furman
46,76,Illinois
47,47,Rutgers
48,65,Mississippi State
49,27,Arkansas
50,37,Texas
51,187,Yale
52,49,Michigan
53,84,Iowa
54,89,San Francisco
55,9,Tennessee
56,61,North Carolina State
57,81,Stanford
58,112,Duquesne
59,105,Penn State
60,54,Indiana
61,50,UCLA
62,28,Oklahoma State
63,177,Eastern Washington
64,319,Liberty
65,119,Western Kentucky
66,315,Stephen F. Austin
67,191,Vermont
68,77,Connecticut
69,94,Boise State
70,130,Tulsa
71,34,Georgia Tech
72,113,Bowling Green
73,51,Texas Tech
74,132,UNCG
75,43,Utah
76,193,Louisiana Tech
77,70,South Carolina
78,98,Indiana State
79,111,North Texas
80,69,VCU
81,36,Alabama
82,190,Harvard
83,258,Colgate
84,288,Belmont
85,291,New Mexico State
86,40,Purdue
87,144,Bradley
88,7,Georgetown
89,174,Little Rock
90,128,SMU
91,41,Miami (FL)
92,110,Nevada
93,115,Saint Bonaventure
94,116,Buffalo
95,102,Notre Dame
96,64,Syracuse
97,114,Kent State
98,161,Pacific
99,244,Hofstra
100,92,Oregon State
101,23,Washington
102,122,Colorado State
103,148,Loyola-Chicago
104,208,Northern Colorado
105,230,Siena
106,146,Texas State
107,39,Saint John's
108,19,Georgia
109,253,Saint Francis (PA)
110,30,TCU
111,305,Wright State
112,198,William & Mary
113,153,Georgia State
114,10,North Carolina
115,100,Davidson
116,137,Western Carolina
117,167,Stony Brook
118,56,Clemson
119,85,UNLV
120,78,Texas A&M
121,90,UCF
122,233,Delaware
123,300,North Dakota State
124,46,Minnesota
125,227,UC Irvine
126,176,Montana
127,58,DePaul
128,127,Valparaiso
129,57,Temple
130,96,Pepperdine
131,166,Chattanooga
132,269,Winthrop
133,53,UMass
134,136,Drake
135,14,California
136,219,Radford
137,139,Towson
138,83,Missouri
139,242,Austin Peay
140,232,North Florida
141,91,Virginia Tech
142,126,New Mexico
143,307,Murray State
144,282,Northern Kentucky
145,80,Pittsburgh
146,71,Wake Forest
147,185,South Alabama
148,82,Ole Miss
149,104,La Salle
150,192,Penn
151,169,Georgia Southern
152,212,Boston University
153,294,Merrimack
154,135,Charleston
155,270,Rider
156,321,South Dakota State
157,59,Boston College
158,120,George Mason
159,157,Appalachian State
160,79,South Florida
161,247,Monmouth
162,168,Brown
163,179,Wofford
164,313,Nicholls
165,302,UC Santa Barbara
166,261,Lafayette
167,29,Iowa State
168,226,Northern Illinois
169,149,Omaha
170,125,Missouri State
171,151,Toledo
172,129,Southern Illinois
173,147,Princeton
174,123,Eastern Michigan
175,194,Ball State
176,221,FIU
177,263,South Dakota
178,131,Ohio
179,99,UTA
180,234,Portland State
181,199,Oral Roberts
182,118,Washington State
183,271,Saint Peter's
184,295,Sacred Heart
