team,rpi,sos
South Carolina,1,6
Oregon,2,12
Maryland,3,8
Baylor,4,38
Connecticut,5,18
Louisville,6,20
Stanford,7,15
Missouri State,8,45
Princeton,9,82
Gonzaga,10,67
Northwestern,11,27
Mississippi State,12,24
UCLA,13,47
Indiana,14,7
Iowa,15,21
Texas A&M,16,16
Central Michigan,17,53
Oregon State,18,10
Ohio State,19,2
TCU,20,23
DePaul,21,64
North Carolina State,22,66
Kentucky,23,33
Drake,24,52
Arizona,25,68
Arkansas,26,54
Duke,27,5
Florida State,28,62
Michigan,29,19
Western Kentucky,30,89
Marquette,31,63
Old Dominion,32,111
South Dakota,33,186
UCF,34,36
FGCU,35,156
James Madison,36,148
LSU,37,35
Arizona State,38,26
Virginia Tech,39,55
Drexel,40,112
Texas,41,22
Troy,42,188
Dayton,43,88
Tennessee-Martin,44,96
Purdue,45,11
Bradley,46,104
Creighton,47,57
Rutgers,48,78
Bucknell,49,168
Iowa State,50,25
Middle Tennessee,51,72
Charlotte,52,110
Marist,53,209
Yale,54,87
Belmont,55,121
West Virginia,56,42
Boston College,57,73
Rice,58,131
Oklahoma State,59,9
Georgia,60,14
South Florida,61,51
Saint John's,62,65
Penn,63,139
Montana State,64,173
Tennessee,65,91
Northern Iowa,66,70
Fresno State,67,189
Alabama,68,40
Illinois State,69,77
Texas A&M-Corpus Christi,70,192
Ball State,71,123
Virginia,72,3
South Dakota State,73,103
Seton Hall,74,61
Kansas State,75,28
IUPUI,76,185
Cincinnati,77,99
USC,78,37
Villanova,79,74
Georgia Tech,80,85
Fordham,81,119
Stony Brook,82,332
Oklahoma,83,1
Coastal Carolina,84,305
BYU,85,97
Boise State,86,142
Saint Louis,87,80
Ohio,88,106
Nebraska,89,50
Abilene Christian,90,242
Colorado,91,48
Minnesota,92,30
Stephen F. Austin,93,249
Butler,94,102
Rider,95,312
VCU,96,109
Southeast Missouri,97,272
Kent State,98,115
Syracuse,99,46
Southern Illinois,100,94
Michigan State,101,58
Liberty,102,126
UTA,103,166
UAB,104,130
William & Mary,105,256
Utah,106,32
Washington State,107,4
Columbia,108,182
Idaho,109,228
Auburn,110,13
Wake Forest,111,56
Bethune-Cookman,112,326
Colgate,113,198
San Diego,114,149
Robert Morris,115,279
Miami (FL),116,41
Temple,117,83
Notre Dame,118,31
California,119,17
Green Bay,120,133
Buffalo,121,155
Richmond,122,79
Harvard,123,134
Kansas,124,71
Lehigh,125,172
